channel,x,y,z
AFz,0.03,106.34,82.85
CPz,0.25,-37.37,143.17
Cz,0.32,3.4,147.92
Fpz,-0.11,112.43,41.36
EOG,37,110,-10
Fp1,30.7,107.17,41.45
Fpz,-0.11,112.43,41.36
Fp2,-30.7,107.13,41.35
F7,71.93,61.74,40.54
F3,50.41,74.14,91.38
Fz,0.15,80.59,115.99
F4,-50.5,74.28,91.84
F8,-72.57,62.02,40.31
FC5,77.55,35.72,74.46
FC1,34.24,43.16,128.4
FC2,-33.82,43.54,128.18
FC6,-76.46,36.64,74.42
M1,74.69,-28.44,-18.3
T7,85.56,0.8,38.91
C3,68.97,2.56,114.45
Cz,0.32,3.4,147.92
C4,-67.94,3.02,113.94
T8,-84.87,1.39,38.66
M2,-74.69,-28.44,-18.3
CP5,79.26,-31.17,76.89
CP1,36.65,-37.41,135.5
CP2,-36.74,-35.31,135.21
CP6,-79.86,-26.64,76.43
P7,72.02,-54.12,40.17
P3,52.7,-65.34,94.38
Pz,0.17,-69.04,117.29
P4,-54.03,-62.35,94.73
P8,-73.49,-49.96,39.88
POz,0.04,-87.61,80.56
O1,28.63,-91.41,40.76
O2,-29.61,-89.98,40.64
CPz,0.25,-37.37,143.17
AF7,55.86,88.56,41.09
AF3,35.59,100.67,70.34
AF4,-35.14,100.95,70.27
AF8,-55.87,88.52,40.91
F5,65.47,68.18,67.16
F1,28.2,78.62,109.58
F2,-27.75,78.48,108.96
F6,-64.68,68.22,67.2
FC3,61.94,40.01,105.95
FCz,0.22,44.31,137.62
FC4,-60.74,40.68,105.48
C5,83.28,1.69,78.26
C1,38.65,3.22,139.25
C2,-37.89,3.48,139.07
C6,-82.22,2.26,77.85
CP3,65.1,-35.13,111.24
CP4,-65.96,-31.45,111.26
P5,66.26,-60.18,68.63
P1,29.05,-68.37,111.56
P2,-29.6,-66.76,111.9
P6,-67.95,-56.31,68.58
PO5,46.35,-81.06,56.48
PO3,35.19,-85.25,70.92
PO4,-36.24,-83.69,71.79
PO6,-48.25,-78.98,57.56
FT7,80.26,31.27,39.9
FT8,-80.15,31.65,39.64
TP7,82.27,-26.8,39.71
TP8,-82.92,-21.54,39.37
PO7,53.46,-76.33,40.53
PO8,-54.72,-73.64,40.32
Oz,-0.09,-94.79,40.25
